STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
744860,94789, 20130301,   41.3,24,   27.4,24, 1004.2,24, 1003.4,24,  10.0,24,  10.1,24,  15.9,  21.0,   51.1 ,  36.0 , 0.00G,999.9, 000000,
744860,94789, 20130302,   38.0,24,   22.5,24, 1007.6,24, 1006.9,24,  10.0,24,  11.7,24,  18.1,  22.9,   46.9 ,  34.0 , 0.00G,999.9, 001000,
744860,94789, 20130303,   33.7,24,   20.0,24, 1006.6,24, 1005.8,24,   9.1,24,  11.7,24,  18.1,  24.1,   42.1 ,  28.9 , 0.00G,999.9, 001000,
744860,94789, 20130304,   34.1,24,   16.2,24, 1008.4,24, 1007.6,24,  10.0,24,  16.8,24,  20.0,  27.0,   44.1 ,  27.0 , 0.00G,999.9, 000000,
744860,94789, 20130305,   37.9,24,   19.8,24, 1014.3,24, 1013.5,24,  10.0,24,  12.8,24,  21.0,  28.9,   48.0 ,  27.1 , 0.00G,999.9, 000000,
744860,94789, 20130306,   39.6,24,   30.5,24, 1013.6,22, 1012.6,24,  10.0,24,  14.8,24,  33.0,  40.0,   48.0 ,  31.1 , 0.00G,999.9, 010000,
744860,94789, 20130307,   36.4,24,   28.9,24, 1014.9,20, 1013.8,24,   9.2,24,  21.0,24,  28.9,  41.0,   39.9*,  33.8*, 0.00G,999.9, 011000,
744860,94789, 20130308,   33.5,24,   29.8,24, 1017.4,18, 1016.3,24,   3.8,24,  17.1,24,  22.9,  28.9,   39.0*,  30.2*, 0.19G,  2.0, 111000,
744860,94789, 20130309,   42.5,24,   22.8,24, 1022.9,24, 1022.2,24,  10.0,24,  13.6,24,  18.1,  21.0,   55.0 ,  31.1 , 0.06G,  1.2, 000000,
744860,94789, 20130310,   38.4,24,   30.3,24, 1027.8,24, 1027.1,24,  10.0,24,   5.6,24,   9.9, 999.9,   55.0 ,  30.9 , 0.00G,  1.2, 000000,
744860,94789, 20130311,   43.2,24,   38.0,24, 1024.7,22, 1024.1,24,   9.8,24,   7.2,24,  13.0, 999.9,   52.0 ,  31.1 , 0.00G,999.9, 000000,
744860,94789, 20130312,   48.0,24,   45.7,24, 1014.8,22, 1013.4,24,   6.9,24,  14.8,24,  25.1,  35.0,   52.0 ,  39.0 , 0.05G,999.9, 010000,
744860,94789, 20130313,   45.4,24,   30.7,24, 1010.7,24, 1009.9,24,  10.0,24,  11.0,24,  20.0,  28.9,   53.1 ,  37.9 , 0.61G,999.9, 000000,
744860,94789, 20130314,   37.1,24,   14.1,24, 1012.4,24, 1011.7,24,  10.0,24,  18.0,24,  26.0,  40.0,   53.1 ,  30.0 , 0.00G,999.9, 000000,
744860,94789, 20130315,   36.5,24,   12.1,24, 1012.7,24, 1012.0,24,  10.0,24,  14.2,24,  25.1,  33.0,   46.0 ,  30.0 , 0.00G,999.9, 000000,
744860,94789, 20130316,   38.3,24,   23.3,24, 1009.8,20, 1009.0,24,   8.7,24,   8.0,24,  15.9,  22.9,   48.0 ,  30.2 , 0.00G,999.9, 001000,
744860,94789, 20130317,   34.0,24,   20.1,24, 1018.2,22, 1016.4,24,   9.6,24,   9.8,24,  15.0,  21.0,   41.0 ,  30.0 , 0.02G,999.9, 001000,
744860,94789, 20130318,   32.3,24,   13.8,24, 1027.3,23, 1026.3,24,   9.1,24,  10.7,24,  18.1,  29.9,   39.0 ,  26.1 , 0.00G,999.9, 011000,
744860,94789, 20130319,   37.4,24,   33.4,24, 1010.3,20, 1010.0,24,   6.6,24,  12.4,24,  19.0,  26.0,   45.0 ,  26.2 , 0.73G,  1.2, 011000,
744860,94789, 20130320,   39.4,24,   19.5,24, 1010.6,24, 1009.8,24,  10.0,24,  14.3,24,  22.0,  27.0,   46.9 ,  32.0 , 0.20G,999.9, 000000,
744860,94789, 20130321,   35.5,24,   19.5,24, 1007.8,24, 1007.1,24,   9.3,24,   9.3,24,  15.9,  21.0,   46.9 ,  30.9 , 0.00G,999.9, 001000,
744860,94789, 20130322,   34.8,24,   13.3,24, 1008.1,24, 1007.4,24,  10.0,24,  13.1,24,  18.1,  26.0,   44.1 ,  28.9 , 0.00G,999.9, 000000,
744860,94789, 20130323,   39.3,24,   18.0,24, 1011.5,24, 1010.7,24,  10.0,24,  14.3,24,  21.0,  28.9,   48.0 ,  29.1 , 0.00G,999.9, 000000,
744860,94789, 20130324,   39.2,24,   17.5,24, 1011.8,24, 1011.0,24,  10.0,24,  11.1,24,  21.0,  28.0,   48.0 ,  32.0 , 0.00G,999.9, 000000,
744860,94789, 20130325,   37.6,24,   28.4,24, 1003.6,21, 1002.3,24,   8.6,24,   8.4,24,  18.1,  26.0,   46.9 ,  32.0 , 0.00G,999.9, 011000,
744860,94789, 20130326,   41.9,24,   28.2,24, 1005.1,24, 1004.3,24,   9.9,24,   7.3,24,  15.0,  28.0,   53.1 ,  35.1 , 0.25G,999.9, 010000,
744860,94789, 20130327,   44.6,24,   21.8,24, 1011.9,24, 1011.1,24,  10.0,24,  11.0,24,  18.1,  25.1,   54.0 ,  35.1 , 0.00G,999.9, 000000,
744860,94789, 20130328,   44.4,24,   26.6,24, 1015.4,24, 1014.7,24,  10.0,24,  13.2,24,  17.1,  24.1,   54.0 ,  35.1 , 0.00G,999.9, 010000,
744860,94789, 20130329,   47.8,24,   26.2,24, 1019.5,24, 1018.7,24,  10.0,24,  11.3,24,  15.9,  22.0,   55.9 ,  37.0 , 0.00G,999.9, 000000,
744860,94789, 20130330,   47.4,24,   26.0,24, 1020.3,24, 1019.6,24,  10.0,24,  10.0,24,  19.0, 999.9,   57.9 ,  39.9 , 0.00G,999.9, 000000,
744860,94789, 20130331,   44.4,24,   34.4,24, 1018.1,24, 1017.3,24,   9.9,24,   7.9,24,  18.1,  26.0,   57.9 ,  35.1 , 0.00G,999.9, 010000,
