STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
744860,94789, 20130501,   53.6,24,   35.2,24, 1029.6,24, 1028.8,24,  10.0,24,   7.7,24,  14.0,  20.0,   64.9 ,  43.0 , 0.00G,999.9, 000000,
744860,94789, 20130502,   53.8,24,   41.9,24, 1031.0,24, 1030.3,24,  10.0,24,   4.4,24,   8.9, 999.9,   64.9 ,  43.0 , 0.00G,999.9, 000000,
744860,94789, 20130503,   53.9,24,   39.6,24, 1030.0,24, 1029.3,24,  10.0,24,   7.6,24,  12.0,  14.0,   63.0 ,  44.1 , 0.00G,999.9, 000000,
744860,94789, 20130504,   52.8,24,   41.8,24, 1027.1,24, 1026.3,24,  10.0,24,   6.7,24,  13.0,  18.1,   64.0 ,  46.0 , 0.00G,999.9, 000000,
744860,94789, 20130505,   50.4,24,   39.2,24, 1025.5,23, 1024.7,24,  10.0,24,   9.4,24,  15.9, 999.9,   64.0 ,  44.1 , 0.00G,999.9, 000000,
744860,94789, 20130506,   52.5,24,   44.0,24, 1023.7,20, 1023.2,24,  10.0,24,   5.5,24,   8.9, 999.9,   62.1 ,  44.1 , 0.00G,999.9, 000000,
744860,94789, 20130507,   57.2,24,   50.2,24, 1021.0,23, 1020.3,24,  10.0,24,   6.0,24,  15.9, 999.9,   72.0 ,  45.0 , 0.00G,999.9, 000000,
744860,94789, 20130508,   60.7,24,   57.1,24, 1018.3,16, 1017.3,24,   7.3,24,   9.0,24,  19.0, 999.9,   72.0 ,  48.0 , 0.93G,999.9, 010010,
744860,94789, 20130509,   59.2,24,   53.1,24, 1014.7,18, 1013.8,24,   6.9,24,   7.4,24,  12.0, 999.9,   70.0 ,  55.0 , 1.54G,999.9, 010000,
744860,94789, 20130510,   63.1,24,   54.5,24, 1014.8,24, 1014.1,24,   9.5,24,   7.2,24,  17.1, 999.9,   75.9 ,  54.0 , 0.75G,999.9, 000000,
744860,94789, 20130511,   60.8,24,   57.2,24, 1010.7,20, 1009.8,24,   6.8,24,  12.2,24,  22.9, 999.9,   75.9 ,  54.0 , 0.18G,999.9, 010010,
744860,94789, 20130512,   62.8,24,   46.7,24, 1006.4,24, 1005.5,24,   9.1,24,  12.4,24,  25.1, 999.9,   70.0 ,  57.0 , 0.23G,999.9, 010000,
744860,94789, 20130513,   53.1,24,   24.8,24, 1015.5,24, 1014.7,24,  10.0,24,  16.7,24,  28.9,  39.0,   70.0 ,  46.9 , 0.02G,999.9, 000000,
744860,94789, 20130514,   51.2,24,   28.0,24, 1019.1,24, 1018.3,24,  10.0,24,  10.3,24,  15.0,  22.9,   60.1 ,  43.0 , 0.00G,999.9, 000000,
744860,94789, 20130515,   55.4,24,   45.6,24, 1015.1,24, 1014.3,24,  10.0,24,  11.0,24,  17.1,  22.9,   62.1 ,  43.0 , 0.00G,999.9, 010000,
744860,94789, 20130516,   63.6,24,   51.0,24, 1007.7,24, 1006.9,24,   9.5,24,   7.3,24,  17.1,  24.1,   73.9 ,  48.0 , 0.03G,999.9, 000000,
744860,94789, 20130517,   64.5,24,   40.8,24, 1015.1,24, 1014.3,24,  10.0,24,   8.7,24,  17.1,  22.9,   73.9 ,  55.9 , 0.00G,999.9, 000000,
744860,94789, 20130518,   59.2,24,   48.3,24, 1024.8,24, 1024.0,24,  10.0,24,   3.8,24,   7.0, 999.9,   73.0 ,  54.0 , 0.00G,999.9, 010000,
744860,94789, 20130519,   56.7,24,   53.1,24, 1025.9,16, 1025.1,24,   5.9,24,   9.7,24,  15.0,  21.0,   63.0 ,  54.0 , 0.14G,999.9, 010000,
744860,94789, 20130520,   61.9,24,   59.0,24, 1019.1,19, 1018.7,24,   3.2,24,   5.8,24,  14.0, 999.9,   72.0 ,  55.0 , 0.32G,999.9, 110000,
744860,94789, 20130521,   67.0,24,   62.6,24, 1013.9,18, 1013.4,24,   5.7,24,   7.0,24,  15.9,  21.0,   77.0 ,  57.0 , 0.00G,999.9, 100000,
744860,94789, 20130522,   65.2,24,   61.5,24, 1012.2,21, 1011.6,24,   5.6,24,   5.1,24,  14.0,  33.0,   77.0 ,  57.9 , 0.00G,999.9, 010000,
744860,94789, 20130523,   64.7,24,   61.6,24, 1012.0,17, 1011.1,24,   5.4,24,  14.0,24,  24.1,  29.9,   72.0 ,  57.9 , 0.01G,999.9, 010000,
744860,94789, 20130524,   59.8,24,   56.5,24, 1008.7,20, 1007.7,24,   6.8,24,  12.5,24,  22.0,  28.9,   71.1 ,  48.9 , 0.13G,999.9, 010000,
744860,94789, 20130525,   49.1,24,   41.2,24, 1013.1,24, 1012.2,24,   9.3,24,  17.4,24,  28.9,  40.0,   69.1 ,  45.0 , 0.13G,999.9, 010000,
744860,94789, 20130526,   56.6,24,   34.5,24, 1016.1,24, 1015.3,24,  10.0,24,  18.7,24,  26.0,  34.0,   68.0 ,  45.0 , 0.03G,999.9, 010000,
744860,94789, 20130527,   59.8,24,   36.7,24, 1022.7,24, 1021.9,24,  10.0,24,  10.2,24,  18.1,  21.0,   70.0 ,  48.0 , 0.00G,999.9, 000000,
